"","TRACTCE10","NAME10"
"347","006700","67"
"348","006800","68"
"349","006900","69"
"350","007000","70"
"351","007100","71"
"352","007200","72"
"353","007400","74"
"354","007500","75"
"355","007600","76"
"356","007700","77"
"357","007800","78"
"358","008000","80"
"359","008200","82"
"360","008400","84"
"361","008500","85"
"362","025000","250"
"363","025100","251"
"364","025200","252"
"365","025300","253"
"366","025400","254"
"367","025500","255"
"368","025600","256"
"369","025700","257"
"370","025800","258"
"371","025901","259.01"
"372","025902","259.02"
"373","026000","260"
"374","026100","261"
"375","026200","262"
"376","026300","263"
"377","026400","264"
"378","026500","265"
"379","026600","266"
"380","026700","267"
"381","026800","268"
"382","026900","269"
"383","027000","270"
"384","027200","272"
"385","027300","273"
"386","027400","274"
"387","027500","275"
"388","027600","276"
"389","027700","277"
"390","112600","1126"
"391","112800","1128"
"392","113000","1130"
"393","113200","1132"
"394","113400","1134"
"395","114201","1142.01"
"396","114202","1142.02"
"397","114600","1146"
"398","115000","1150"
"399","115200","1152"
"400","115600","1156"
"401","115800","1158"
"402","116000","1160"
"403","116200","1162"
"404","116400","1164"
"405","116600","1166"
"406","116800","1168"
"407","117000","1170"
"408","117201","1172.01"
"409","117202","1172.02"
"410","117400","1174"
"411","117601","1176.01"
"412","117602","1176.02"
"413","117800","1178"
"414","118000","1180"
"415","012600","126"
"416","027100","271"
"417","030500","305"
"418","034800","348"
"419","044900","449"
"420","046000","460"
"421","076800","768"
"422","094600","946"
"423","105804","1058.04"
"424","119800","1198"
"425","152200","1522"
"426","000501","5.01"
"427","000502","5.02"
"428","001500","15"
"429","035601","356.01"
"430","035602","356.02"
"431","037401","374.01"
"432","037402","374.02"
"433","050801","508.01"
"434","050803","508.03"
"435","050804","508.04"
"436","051001","510.01"
"437","028200","282"
"438","028300","283"
"439","028400","284"
"440","028501","285.01"
"441","028502","285.02"
"442","028600","286"
"443","028700","287"
"444","028800","288"
"445","028900","289"
"446","029000","290"
"447","029100","291"
"448","029200","292"
"449","029300","293"
"450","029400","294"
"451","029500","295"
"452","029600","296"
"453","029700","297"
"454","029800","298"
"455","029900","299"
"456","030000","300"
"457","030100","301"
"458","030200","302"
"459","030300","303"
"460","030400","304"
"461","030600","306"
"462","030700","307"
"463","030800","308"
"464","030900","309"
"465","031100","311"
"466","031300","313"
"467","031400","314"
"468","040400","404"
"469","040500","405"
"470","040600","406"
"471","040700","407"
"472","040800","408"
"473","040900","409"
"474","041000","410"
"475","041100","411"
"476","041200","412"
"477","041300","413"
"478","041401","414.01"
"479","041402","414.02"
"480","041500","415"
"481","041600","416"
"482","041700","417"
"483","041800","418"
"484","041900","419"
"485","049300","493"
"486","049400","494"
"487","049500","495"
"488","049600","496"
"489","049700","497"
"490","049800","498"
"491","049900","499"
"492","050000","500"
"493","050100","501"
"494","050202","502.02"
"495","066200","662"
"496","067000","670"
"497","042000","420"
"498","042100","421"
"499","042200","422"
"500","042300","423"
"501","042400","424"
"502","042500","425"
"503","042600","426"
"504","042700","427"
"505","042800","428"
"506","042900","429"
"507","043000","430"
"508","043100","431"
"509","043200","432"
"510","043300","433"
"511","043400","434"
"512","043500","435"
"513","043600","436"
"514","043700","437"
"515","043800","438"
"516","043900","439"
"517","044000","440"
"518","044100","441"
"519","044200","442"
"520","044300","443"
"521","008600","86"
"522","008800","88"
"523","009000","90"
"524","009200","92"
"525","009400","94"
"526","009600","96"
"527","009800","98"
"528","010000","100"
"529","010100","101"
"530","010200","102"
"531","010400","104"
"532","010600","106"
"533","010800","108"
"534","011000","110"
"535","011200","112"
"536","011400","114"
"537","011600","116"
"538","011700","117"
"539","011800","118"
"540","012000","120"
"541","012100","121"
"542","012200","122"
"543","012700","127"
"544","012801","128.01"
"545","012901","129.01"
"546","012902","129.02"
"547","013000","130"
"548","013100","131"
"549","050300","503"
"550","050400","504"
"551","050500","505"
"552","050600","506"
"553","050700","507"
"554","050900","509"
"555","051100","511"
"556","051200","512"
"557","051300","513"
"558","051400","514"
"559","051500","515"
"560","051700","517"
"561","051800","518"
"562","051900","519"
"563","052000","520"
"564","052300","523"
"565","052500","525"
"566","052600","526"
"567","052700","527"
"568","052800","528"
"569","052900","529"
"570","053000","530"
"571","053100","531"
"572","053200","532"
"573","053300","533"
"574","044400","444"
"575","044500","445"
"576","044600","446"
"577","044700","447"
"578","044800","448"
"579","045000","450"
"580","045200","452"
"581","045300","453"
"582","045400","454"
"583","045600","456"
"584","045800","458"
"585","046201","462.01"
"586","046202","462.02"
"587","046400","464"
"588","046800","468"
"589","047000","470"
"590","047200","472"
"591","047400","474"
"592","047600","476"
"593","047700","477"
"594","047800","478"
"595","048000","480"
"596","048100","481"
"597","048200","482"
"598","048400","484"
"599","013200","132"
"600","013300","133"
"601","013400","134"
"602","013500","135"
"603","013600","136"
"604","013700","137"
"605","013800","138"
"606","013900","139"
"607","014000","140"
"608","014100","141"
"609","014200","142"
"610","014300","143"
"611","014500","145"
"612","014700","147"
"613","014800","148"
"614","014900","149"
"615","015000","150"
"616","015100","151"
"617","015300","153"
"618","015400","154"
"619","015500","155"
"620","015700","157"
"621","015900","159"
"622","016000","160"
"623","016100","161"
"624","016200","162"
"625","027800","278"
"626","027900","279"
"627","028000","280"
"628","028100","281"
"629","082000","820"
"630","082200","822"
"631","082400","824"
"632","082600","826"
"633","082800","828"
"634","083000","830"
"635","083200","832"
"636","083400","834"
"637","083600","836"
"638","083800","838"
"639","084000","840"
"640","084600","846"
"641","084800","848"
"642","085000","850"
"643","085200","852"
"644","085400","854"
"645","085600","856"
"646","085800","858"
"647","086000","860"
"648","086200","862"
"649","086400","864"
"650","086600","866"
"651","086800","868"
"652","118201","1182.01"
"653","118202","1182.02"
"654","118400","1184"
"655","118600","1186"
"656","118800","1188"
"657","119200","1192"
"658","119400","1194"
"659","119600","1196"
"660","120000","1200"
"661","120800","1208"
"662","121000","1210"
"663","121400","1214"
"664","122000","1220"
"665","054600","546"
"666","120200","1202"
"667","072600","726"
"668","004600","46"
"669","061002","610.02"
"670","061600","616"
"671","067200","672"
"672","067400","674"
"673","067600","676"
"674","067800","678"
"675","051002","510.02"
"676","051601","516.01"
"677","051602","516.02"
"678","061003","610.03"
"679","061004","610.04"
"680","069601","696.01"
"681","069602","696.02"
"682","079601","796.01"
"683","079602","796.02"
"684","079801","798.01"
"685","079802","798.02"
"686","105801","1058.01"
"687","990100","9901"
"688","016300","163"
"689","016400","164"
"690","016500","165"
"691","016700","167"
"692","016800","168"
"693","016900","169"
"694","017000","170"
"695","017100","171"
"696","017200","172"
"697","017400","174"
"698","017500","175"
"699","017600","176"
"700","017700","177"
"701","017800","178"
"702","017900","179"
"703","018000","180"
"704","018100","181"
"705","018200","182"
"706","018300","183"
"707","018400","184"
"708","018501","185.01"
"709","018600","186"
"710","018700","187"
"711","087000","870"
"712","087200","872"
"713","087401","874.01"
"714","087600","876"
"715","087800","878"
"716","088000","880"
"717","088200","882"
"718","088400","884"
"719","088600","886"
"720","088800","888"
"721","089000","890"
"722","089200","892"
"723","089400","894"
"724","089600","896"
"725","089800","898"
"726","090000","900"
"727","090200","902"
"728","090600","906"
"729","090800","908"
"730","091000","910"
"731","091200","912"
"732","091600","916"
"733","091800","918"
"734","092000","920"
"735","092200","922"
"736","092800","928"
"737","068000","680"
"738","068200","682"
"739","068600","686"
"740","068800","688"
"741","069000","690"
"742","069200","692"
"743","069800","698"
"744","070000","700"
"745","070201","702.01"
"746","070202","702.02"
"747","070203","702.03"
"748","070600","706"
"749","072000","720"
"750","072200","722"
"751","072400","724"
"752","072800","728"
"753","073000","730"
"754","073200","732"
"755","073400","734"
"756","073600","736"
"757","073800","738"
"758","074000","740"
"759","074200","742"
"760","074400","744"
